Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,15.98,16.08,15.92,15.93,843400,15.93
2009-12-30,15.99,16.01,15.83,15.99,626300,15.99
2009-12-29,16.04,16.12,15.97,15.97,888100,15.97
2009-12-28,15.88,16.05,15.86,16.05,730900,16.05
2009-12-24,15.78,15.93,15.77,15.92,349500,15.92
2009-12-23,15.84,15.87,15.61,15.77,1009300,15.77
2009-12-22,15.54,15.78,15.38,15.74,1654600,15.74
2009-12-21,15.45,15.52,15.29,15.48,2195600,15.48
2009-12-18,15.13,15.42,15.11,15.35,4575700,15.35
2009-12-17,15.08,15.17,14.91,15.12,3185300,15.12
2009-12-16,15.66,15.80,15.02,15.11,6265500,15.11
2009-12-15,16.06,16.21,16.06,16.17,1045800,16.17
2009-12-14,16.15,16.15,16.01,16.08,1558100,16.08
2009-12-11,15.83,16.01,15.79,15.98,1559800,15.98
2009-12-10,16.01,16.16,15.69,15.81,2297100,15.81
2009-12-09,16.16,16.19,15.82,15.98,1621400,15.98
2009-12-08,16.50,16.52,16.09,16.17,2019000,16.17
2009-12-07,16.69,16.89,16.47,16.59,1742600,16.59
2009-12-04,16.71,16.97,16.64,16.74,1841900,16.74
2009-12-03,16.81,16.81,16.45,16.53,2312900,16.53
2009-12-02,16.44,16.80,16.11,16.77,5953800,16.77
2009-12-01,17.30,17.46,17.21,17.25,1501800,17.25
2009-11-30,17.05,17.24,16.90,17.11,1294000,17.11
2009-11-27,17.09,17.20,16.88,16.99,838500,16.99
2009-11-25,17.38,17.48,17.27,17.42,1011800,17.42
2009-11-24,17.28,17.43,17.24,17.35,1127600,17.35
2009-11-23,17.24,17.56,17.11,17.37,1264200,17.37
2009-11-20,17.03,17.17,16.87,17.09,2034500,17.09
2009-11-19,17.19,17.26,16.74,16.99,1159700,16.99
2009-11-18,17.21,17.32,17.07,17.23,1438300,17.23
2009-11-17,17.11,17.42,17.07,17.25,1610900,17.25
2009-11-16,16.91,17.26,16.90,17.13,2226900,17.13
2009-11-13,16.57,16.95,16.52,16.92,2161900,16.92
2009-11-12,16.61,16.79,16.40,16.51,2423800,16.51
2009-11-11,16.47,16.69,16.38,16.67,1861700,16.67
2009-11-10,16.35,16.54,16.34,16.42,1113500,16.42
2009-11-09,16.18,16.41,16.17,16.38,1360800,16.38
2009-11-06,16.02,16.32,15.92,16.07,2054900,16.07
2009-11-05,15.68,16.09,15.68,16.08,1491400,16.08
2009-11-04,15.72,15.95,15.58,15.64,2009000,15.64
2009-11-03,15.53,15.75,15.40,15.65,2166400,15.65
2009-11-02,15.83,16.08,15.49,15.64,2490800,15.64
2009-10-30,16.14,16.20,15.77,15.82,2399400,15.82
2009-10-29,15.93,16.21,15.79,16.20,1391200,16.20
2009-10-28,16.32,16.39,15.73,15.74,2393500,15.74
2009-10-27,16.30,16.47,16.15,16.30,1798900,16.30
2009-10-26,16.22,16.67,16.04,16.20,1509800,16.20
2009-10-23,16.52,16.64,16.22,16.25,1721800,16.25
2009-10-22,16.43,16.55,16.15,16.53,2335800,16.53
2009-10-21,16.69,17.00,16.42,16.43,2096900,16.43
2009-10-20,16.85,16.96,16.64,16.74,2124300,16.74
2009-10-19,16.46,16.91,16.46,16.75,1704400,16.75
2009-10-16,16.86,16.91,16.45,16.45,2802100,16.45
2009-10-15,16.60,16.96,16.55,16.92,1912600,16.92
2009-10-14,16.89,16.94,16.57,16.68,1841200,16.68
2009-10-13,16.59,16.81,16.50,16.71,2491400,16.71
2009-10-12,16.37,16.81,16.20,16.58,2002400,16.58
2009-10-09,16.20,16.44,16.04,16.42,2326300,16.42
