Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,48.93,49.43,48.14,48.20,1649200,48.20
2009-12-30,49.24,49.24,48.32,48.93,2848800,48.93
2009-12-29,50.17,50.74,49.28,49.36,3401200,49.36
2009-12-28,51.28,51.28,49.56,49.99,3356200,49.99
2009-12-24,50.84,51.33,50.33,50.62,1282100,50.62
2009-12-23,49.60,50.65,49.40,50.57,3986200,50.57
2009-12-22,48.93,49.47,48.28,49.35,4926200,49.35
2009-12-21,47.90,48.87,47.81,48.79,4881200,48.79
2009-12-18,46.02,47.52,45.87,47.45,8271600,47.45
2009-12-17,44.99,45.55,44.30,45.40,5023100,45.40
2009-12-16,45.02,45.83,44.67,45.32,4725000,45.32
2009-12-15,44.26,44.74,44.09,44.47,3144600,44.47
2009-12-14,43.52,45.09,43.46,44.46,6535600,44.46
2009-12-11,41.81,42.20,41.31,41.45,4903900,41.45
2009-12-10,40.86,42.29,40.75,42.04,5652300,42.04
2009-12-09,41.77,41.77,39.76,40.73,7280500,40.73
2009-12-08,42.51,42.69,41.05,41.31,5830900,41.31
2009-12-07,42.90,43.95,42.34,42.93,3359300,42.93
2009-12-04,43.52,44.42,42.00,42.95,4127200,42.95
2009-12-03,44.02,44.17,43.00,43.08,3732900,43.08
2009-12-02,44.60,45.07,43.94,44.10,3172800,44.10
2009-12-01,44.48,45.09,44.39,44.56,4223500,44.56
2009-11-30,43.51,44.91,43.32,43.96,4926900,43.96
2009-11-27,43.52,44.23,43.00,43.86,2989700,43.86
2009-11-25,43.26,45.13,42.95,45.11,5923700,45.11
2009-11-24,41.92,43.18,41.65,43.17,4588500,43.17
2009-11-23,42.31,43.19,42.08,42.28,4254300,42.28
2009-11-20,41.00,41.64,41.00,41.49,5487600,41.49
2009-11-19,41.69,41.91,41.10,41.49,4203100,41.49
2009-11-18,42.27,42.59,41.72,42.14,5140900,42.14
2009-11-17,42.52,42.65,41.70,42.31,4663600,42.31
2009-11-16,42.64,43.05,42.33,42.71,6609900,42.71
2009-11-13,42.49,42.78,42.15,42.29,5846700,42.29
2009-11-12,44.47,44.47,42.21,42.57,5569500,42.57
2009-11-11,46.09,46.24,43.88,44.70,3961800,44.70
2009-11-10,45.95,46.41,45.00,45.51,2869400,45.51
2009-11-09,45.25,46.55,45.19,46.18,2713900,46.18
2009-11-06,44.80,45.84,44.35,44.74,2579300,44.74
2009-11-05,45.13,45.73,44.32,45.55,3864700,45.55
2009-11-04,46.17,46.44,44.64,44.78,3603800,44.78
2009-11-03,43.92,45.75,43.12,45.46,4242400,45.46
2009-11-02,44.10,45.91,43.84,44.55,5534200,44.55
2009-10-30,46.87,47.98,43.39,43.58,9298200,43.58
2009-10-29,44.13,46.63,44.13,45.89,6148100,45.89
2009-10-28,46.26,46.44,43.62,43.62,4467600,43.62
2009-10-27,46.41,47.71,46.02,46.78,3590500,46.78
2009-10-26,47.41,48.68,45.94,46.14,3646400,46.14
2009-10-23,48.83,49.15,46.83,47.22,3455300,47.22
2009-10-22,48.61,48.80,47.41,48.62,3980400,48.62
2009-10-21,48.98,49.98,48.66,48.74,3698800,48.74
2009-10-20,50.41,50.61,48.56,49.46,3564400,49.46
2009-10-19,49.20,50.26,49.08,50.17,3997300,50.17
2009-10-16,49.24,49.59,48.50,49.12,4189500,49.12
2009-10-15,45.94,49.51,45.82,49.49,8493100,49.49
2009-10-14,46.20,46.80,45.77,46.67,3434500,46.67
2009-10-13,45.48,45.88,44.37,45.31,3126500,45.31
2009-10-12,46.00,46.41,45.17,45.39,2569600,45.39
2009-10-09,44.61,45.41,44.31,45.34,4053100,45.34
2009-10-08,43.31,44.83,43.31,44.76,3615500,44.76
2009-10-07,43.05,43.33,42.15,42.97,2725500,42.97
2009-10-06,42.60,43.37,42.52,43.15,2709500,43.15
2009-10-05,40.95,42.22,40.61,41.97,3574000,41.97
2009-10-02,40.00,41.30,39.31,40.77,5028400,40.77
2009-10-01,42.54,43.00,40.18,40.28,4806700,40.28
2009-09-30,42.55,43.20,41.63,42.68,5024200,42.68
2009-09-29,41.38,42.57,40.99,42.31,4340200,42.31
2009-09-28,41.09,41.80,40.86,41.47,2348000,41.47
2009-09-25,41.71,42.08,40.62,41.00,3757600,41.00
2009-09-24,42.63,42.76,41.38,41.91,3405600,41.91
2009-09-23,44.52,44.63,42.50,42.81,3902700,42.81
2009-09-22,44.09,44.51,43.48,44.39,3213000,44.39
2009-09-21,42.99,43.39,42.11,43.34,3859700,43.34
2009-09-18,45.68,45.68,43.59,44.03,4136400,44.03
2009-09-17,44.68,45.80,44.62,45.08,4545800,45.08
2009-09-16,43.58,45.04,43.17,44.81,4497100,44.81
2009-09-15,42.53,43.45,42.10,43.21,6419100,43.21
2009-09-14,41.02,42.15,40.69,42.05,3951400,42.05
2009-09-11,40.84,42.25,40.84,41.59,6858700,41.59
2009-09-10,39.50,40.64,39.23,40.64,5163300,40.64
2009-09-09,39.80,39.85,38.68,39.65,4172400,39.65
2009-09-08,38.61,39.28,38.40,39.05,6018200,39.05
2009-09-04,35.79,37.37,35.79,37.21,3557300,37.21
2009-09-03,36.13,36.48,35.64,35.85,3441400,35.85
2009-09-02,36.31,36.58,35.67,35.87,5847800,35.87
2009-09-01,36.76,37.50,36.05,36.28,4766100,36.28
2009-08-31,37.76,37.98,36.57,36.86,4965500,36.86
2009-08-28,38.72,39.04,38.08,38.43,4095600,38.43
2009-08-27,38.50,38.57,37.58,38.40,4035600,38.40
