Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,13.55,13.78,13.44,13.55,2960800,13.46
2009-12-30,13.29,13.71,13.21,13.56,3553500,13.47
2009-12-29,13.30,13.39,13.21,13.34,1937900,13.25
2009-12-28,13.41,13.47,13.06,13.30,3318000,13.21
2009-12-24,13.35,13.48,13.30,13.39,1206000,13.30
2009-12-23,13.40,13.45,13.15,13.32,2134600,13.23
2009-12-22,13.50,13.54,13.23,13.35,3667200,13.26
2009-12-21,13.05,13.62,12.95,13.53,4827700,13.44
2009-12-18,12.94,13.14,12.90,13.01,4793800,12.92
2009-12-17,12.62,12.90,12.56,12.85,3889200,12.76
2009-12-16,12.94,12.97,12.59,12.68,4827300,12.60
2009-12-15,13.04,13.07,12.74,12.79,3790700,12.71
2009-12-14,12.92,13.20,12.92,13.06,4037500,12.97
2009-12-11,12.84,12.93,12.61,12.87,2921300,12.78
2009-12-10,12.34,12.86,12.34,12.82,4614400,12.73
2009-12-09,12.54,12.80,12.26,12.34,7045500,12.26
2009-12-08,12.56,12.67,12.41,12.47,2879200,12.39
2009-12-07,12.60,12.89,12.54,12.60,3322000,12.52
2009-12-04,12.54,12.73,12.37,12.69,4682100,12.61
2009-12-03,12.51,12.66,12.35,12.36,3830400,12.28
2009-12-02,12.64,12.70,12.40,12.48,6955800,12.40
2009-12-01,12.91,13.00,12.55,12.68,6144100,12.60
2009-11-30,12.69,12.97,12.64,12.78,4253200,12.70
2009-11-27,12.75,12.85,12.54,12.69,1910300,12.61
2009-11-25,12.96,13.22,12.86,13.18,2728800,13.04
2009-11-24,13.09,13.16,12.76,12.90,4142500,12.77
2009-11-23,13.33,13.47,12.98,13.11,3647000,12.97
2009-11-20,13.20,13.42,13.00,13.25,4804000,13.11
2009-11-19,13.50,13.50,13.15,13.22,5569200,13.08
2009-11-18,13.54,13.86,13.36,13.58,6491200,13.44
2009-11-17,13.72,13.74,13.28,13.51,5172200,13.37
2009-11-16,13.86,13.98,13.69,13.79,5680900,13.65
2009-11-13,13.45,13.86,13.30,13.65,9363700,13.51
2009-11-12,13.47,13.59,13.09,13.16,5207900,13.02
