Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,64.75,64.90,63.80,63.90,1470800,60.22
2009-12-30,65.32,65.42,64.82,64.90,1419300,61.16
2009-12-29,65.62,66.01,65.36,65.36,1254000,61.60
2009-12-28,66.20,66.22,65.07,65.66,1175100,61.88
2009-12-24,66.04,66.39,65.76,66.23,666200,62.42
2009-12-23,65.32,66.03,64.87,65.80,1959300,62.01
2009-12-22,64.67,65.19,64.59,65.05,2468400,61.30
2009-12-21,63.95,64.78,63.81,64.75,2664100,61.02
2009-12-18,63.50,63.99,62.85,63.38,3653700,59.73
2009-12-17,64.15,64.21,62.93,63.31,3778600,59.66
2009-12-16,64.58,65.21,64.34,64.48,3860800,60.77
2009-12-15,65.01,65.29,64.50,64.91,2668300,61.17
2009-12-14,64.69,65.40,64.42,65.28,2687200,61.52
2009-12-11,65.12,65.12,63.92,64.18,3201200,60.48
2009-12-10,63.67,64.86,63.67,64.59,4107300,60.87
2009-12-09,63.01,63.74,62.54,63.49,2987300,59.83
2009-12-08,64.42,64.60,63.16,63.35,5207000,59.70
2009-12-07,65.34,65.57,64.82,64.82,4012200,61.09
2009-12-04,65.06,66.00,64.56,65.22,5974700,61.46
2009-12-03,64.78,64.90,64.10,64.20,3157100,60.50
2009-12-02,63.95,65.10,63.95,64.61,2764200,60.89
2009-12-01,64.01,65.01,63.83,64.33,3927800,60.63
2009-11-30,63.41,64.24,62.70,63.26,3673900,59.62
2009-11-27,62.94,63.90,62.37,63.19,1998500,59.55
2009-11-25,64.59,64.79,63.90,64.50,2763500,60.79
2009-11-24,64.90,66.11,64.03,64.41,4675900,60.45
2009-11-23,66.10,66.73,65.86,66.11,3719100,62.04
2009-11-20,64.54,65.25,64.30,65.05,3635500,61.05
2009-11-19,65.59,65.59,64.25,64.67,4130600,60.69
2009-11-18,65.77,66.07,65.09,65.94,3807900,61.88
2009-11-17,64.89,66.04,64.55,65.96,5121000,61.90
2009-11-16,63.61,65.05,63.57,65.05,4648000,61.05
2009-11-13,62.45,63.63,62.45,63.55,2943500,59.64
2009-11-12,63.20,63.68,62.26,62.50,3695000,58.65
2009-11-11,62.51,63.56,62.39,63.09,3345900,59.21
2009-11-10,61.88,62.48,61.39,62.12,5652500,58.30
2009-11-09,62.15,63.20,61.30,62.38,9025800,58.54
2009-11-06,60.43,63.14,60.43,62.36,9039600,58.52
2009-11-05,59.81,60.73,59.18,60.65,6273300,56.92
2009-11-04,60.45,61.19,58.86,59.15,10749100,55.51
2009-11-03,57.81,59.41,57.69,59.41,19705700,55.75
2009-11-02,55.22,56.66,54.20,55.06,6238400,51.67
2009-10-30,56.32,56.85,54.88,55.14,4967100,51.75
2009-10-29,55.72,57.14,55.72,56.48,4507100,53.00
2009-10-28,55.32,56.70,55.32,55.45,7935100,52.04
