Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.61,53.72,52.67,52.67,547000,50.34
2009-12-30,53.25,53.89,53.01,53.57,653500,51.20
2009-12-29,53.23,53.77,53.22,53.55,394800,51.18
2009-12-28,53.51,53.63,52.92,53.27,476800,50.91
2009-12-24,53.26,53.67,52.94,53.53,354500,51.16
2009-12-23,53.00,53.50,52.77,52.77,1088000,50.44
2009-12-22,51.30,53.02,51.30,52.89,1024200,50.55
2009-12-21,49.68,51.63,49.68,51.24,1605800,48.97
2009-12-18,49.00,49.78,48.80,49.78,1409500,47.58
2009-12-17,48.76,49.22,48.01,48.83,660400,46.67
2009-12-16,48.36,49.25,48.33,48.87,791600,46.71
2009-12-15,48.23,48.75,47.93,48.13,580400,46.00
2009-12-14,48.13,48.69,47.84,48.50,870500,46.35
2009-12-11,47.89,47.89,46.98,47.88,919500,45.76
2009-12-10,47.89,48.14,47.40,47.60,899200,45.49
2009-12-09,48.28,48.68,47.19,47.69,1218300,45.58
2009-12-08,48.25,49.33,47.35,48.04,874200,45.92
2009-12-07,48.34,49.35,48.16,48.52,984600,46.37
2009-12-04,49.45,50.31,48.00,49.03,1036100,46.86
2009-12-03,49.69,49.77,48.42,48.50,582000,46.35
2009-12-02,48.71,49.83,48.60,49.43,1123500,47.24
2009-12-01,48.58,49.19,48.29,48.58,788400,46.43
2009-11-30,48.60,48.91,47.72,48.48,1362700,46.34
2009-11-27,47.96,49.35,47.26,48.69,549500,46.54
2009-11-25,49.99,50.39,49.70,50.03,840200,47.82
2009-11-24,50.54,50.59,49.54,49.90,960300,47.69
2009-11-23,50.23,51.31,50.23,50.51,1383700,48.28
2009-11-20,50.70,50.70,49.18,49.77,1392000,47.33
2009-11-19,50.00,50.17,48.59,49.50,1619500,47.07
2009-11-18,50.32,51.06,50.03,50.24,2142400,47.78
2009-11-17,49.96,50.75,49.55,50.42,1196100,47.95
2009-11-16,48.74,50.91,48.70,50.19,1256900,47.73
