Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,44.70,44.95,44.15,44.15,1552200,43.58
2009-12-30,43.90,44.70,43.66,44.70,1690500,44.13
2009-12-29,44.00,44.13,43.48,43.99,1662700,43.43
2009-12-28,44.77,44.96,43.67,43.97,2561900,43.41
2009-12-24,44.12,44.74,44.08,44.64,969400,44.07
2009-12-23,43.43,44.15,43.43,44.08,2943700,43.52
2009-12-22,43.34,44.07,43.08,43.47,3649000,42.91
2009-12-21,42.93,43.62,42.59,43.22,4872500,42.67
2009-12-18,42.15,42.79,41.49,42.79,6259500,42.24
2009-12-17,40.97,42.28,40.75,41.98,5246900,41.44
2009-12-16,39.76,41.53,39.76,41.16,4441200,40.63
2009-12-15,39.78,39.96,39.27,39.60,2110500,39.09
2009-12-14,39.33,39.81,39.23,39.78,1894000,39.27
2009-12-11,39.45,39.80,38.77,39.00,1950900,38.50
2009-12-10,39.56,39.89,39.08,39.43,2866900,38.92
2009-12-09,38.55,39.60,38.09,39.55,2582800,39.04
2009-12-08,38.85,38.97,38.33,38.66,2575000,38.16
2009-12-07,39.64,39.70,38.92,39.06,2322600,38.56
2009-12-04,39.25,40.05,38.28,39.48,3860000,38.97
2009-12-03,38.82,39.30,38.55,38.64,4062000,38.14
2009-12-02,38.46,39.22,38.32,38.90,3338700,38.40
2009-12-01,37.05,38.57,37.05,38.38,5115400,37.89
2009-11-30,37.50,37.57,36.47,36.84,3814200,36.37
2009-11-27,37.87,38.11,37.13,37.50,1497600,37.02
2009-11-25,37.81,38.50,37.66,38.46,1970100,37.97
2009-11-24,38.24,38.27,37.46,37.75,2975400,37.27
2009-11-23,37.45,38.26,37.45,38.15,3199200,37.66
2009-11-20,36.96,37.37,36.63,37.05,3196400,36.58
2009-11-19,37.98,38.32,36.88,37.27,5411400,36.79
2009-11-18,38.02,38.59,38.00,38.45,5192500,37.96
2009-11-17,39.06,39.15,38.50,39.09,2048000,38.59
2009-11-16,38.84,39.38,38.70,39.16,2555700,38.66
2009-11-13,38.39,38.93,38.08,38.50,2289800,38.01
