Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,55.75,56.15,55.06,55.12,3589500,54.17
2009-12-30,53.93,55.97,53.83,55.51,8010200,54.55
2009-12-29,56.77,56.89,54.56,54.71,8529900,53.77
2009-12-28,57.56,58.19,56.03,56.49,8671100,55.52
2009-12-24,55.26,57.02,55.14,56.86,6140000,55.88
2009-12-23,53.28,55.11,53.08,55.01,7072700,54.06
2009-12-22,52.34,53.20,51.69,53.10,8071000,52.19
2009-12-21,49.84,52.47,49.81,52.35,10823400,51.45
2009-12-18,49.42,49.47,48.36,49.23,7299200,48.38
2009-12-17,49.26,49.60,48.62,48.73,7409800,47.89
2009-12-16,48.95,49.88,48.74,49.67,9334100,48.81
2009-12-15,48.18,49.20,48.09,48.27,5914100,47.44
2009-12-14,46.50,48.75,46.50,48.61,8325800,47.77
2009-12-11,46.45,47.44,46.00,47.14,8329200,46.33
2009-12-10,46.62,47.14,45.83,46.07,9681300,45.28
2009-12-09,44.56,46.84,44.04,46.74,13987000,45.94
2009-12-08,44.20,44.68,43.71,44.23,8068400,43.47
2009-12-07,44.16,45.62,44.16,44.75,8495900,43.98
2009-12-04,45.78,46.40,43.31,44.39,13953200,43.63
2009-12-03,45.64,46.07,44.78,44.95,9468400,44.18
2009-12-02,45.39,46.05,45.08,45.42,7417000,44.64
2009-12-01,45.61,46.06,45.01,45.18,10081400,44.40
2009-11-30,44.55,44.96,44.05,44.66,13503300,43.89
2009-11-27,41.74,43.49,41.55,43.05,6189600,42.31
2009-11-25,42.51,43.71,42.23,43.67,7724200,42.92
2009-11-24,42.15,42.27,41.31,42.04,7036600,41.32
2009-11-23,42.15,42.90,42.02,42.22,7529800,41.49
2009-11-20,40.45,41.40,40.15,41.32,7753500,40.61
2009-11-19,42.12,42.23,40.60,41.28,9787400,40.57
2009-11-18,42.55,43.27,42.35,42.73,10153500,41.99
2009-11-17,41.22,42.46,41.01,42.30,8513300,41.57
