Country,Pollution Index,GDP,Traffic Index,Area,Rank1,Rank2
Egypt,88.88,,235.07,Africa,top10,top10
Iran,82.51,409.3,234.34,Asia,top10,top10
Indonesia,76.41,1024,226.48,Asia,top10,top10
Jordan,85.73,42.3,221.35,Asia,top10,top10
South Africa,63.56,273.73,208.19,Africa,,top10
Turkey,70.46,791.24,207.36,Asia,,top10
Venezuela,72.9,149.51,206.49,America,,top10
Thailand,73.23,428.76,204.83,Asia,,top10
India,76.53,2487.94,204.69,Asia,top10,top10
Russia,63.04,1267.55,203.27,Asia,,top10
Brazil,61.17,1556.44,202.55,America,,
Philippines,70.25,345.31,202.16,Asia,,
Sri Lanka,61.9,91.91,197.2,Asia,,
Mexico,66.74,1166.6,186.7,America,,
China,88.96,12263.43,177.45,Asia,top10,
Malaysia,67.08,344.85,175.17,Asia,,
Colombia,63.9,278.59,168.47,America,,
Panama,65.49,60.51,164.36,America,,
Japan,41.01,4513.75,164.04,Asia,,
Lebanon,85.11,54.06,162.78,Asia,top10,
United Arab Emirates,58.52,357.27,161.77,Asia,,
Singapore,37.04,304.1,159.72,Asia,,
Saudi Arabia,74.18,659.66,156.57,Asia,,
Pakistan,80.08,,156.46,Asia,top10,
United States,31.19,19284.99,156.01,America,,
Argentina,53.33,447.83,151.95,America,,
Qatar,73.29,181.26,151.56,Asia,,
Canada,26.54,1530.7,149.56,America,,
Ukraine,67.26,93.55,147.81,Europe,,
Israel,61.71,316.77,147.44,Asia,,
Hong Kong,69.9,337.1,146.09,Asia,,
Australia,24.58,1262.34,145.16,Oceania,,
Italy,51.57,1901.67,141.97,Europe,,
Slovakia,43.51,94.49,141.34,Europe,,
Belgium,48.92,479.68,139.61,Europe,,
United Kingdom,34.88,2885.48,130.7,Europe,,
France,40.15,2537.92,129.97,Europe,,
Ireland,27.18,269.74,129.79,Europe,,
Netherlands,27.62,794.25,127.73,Europe,,
Taiwan,62.91,524.84,127.32,Asia,,
Chile,67.67,243.92,123.57,America,,
Spain,37.46,1291.36,121.21,Europe,,
Macedonia,83.38,11.05,121.04,Europe,top10,
Greece,52.05,203.22,120.69,Europe,,
Poland,50.33,495.39,120.26,Europe,,
Vietnam,88.1,217.84,119.5,Asia,top10,
New Zealand,20.03,178.02,115.62,Oceania,,
Portugal,28.91,212.15,114.4,Europe,,
Hungary,43.99,120.12,113.19,Europe,,
Finland,13.38,242.27,111.43,Europe,,
Norway,19.45,384.47,110.98,Europe,,
Romania,50.9,194.3,108.9,Europe,,
Belarus,39.64,49.25,108,Europe,,
South Korea,52.73,,105.46,Asia,,
Croatia,33.34,51.95,102.55,Europe,,
Czech Republic,41.04,191.61,102.5,Europe,,
Slovenia,26.37,45.61,102.04,Europe,,
Sweden,17.87,530.29,102.03,Europe,,
Serbia,55.29,38.88,101.94,Europe,,
Latvia,29.15,29.86,101.68,Europe,,
Lithuania,34.27,45.4,99.32,Europe,,
Germany,27.05,3591.69,95.92,Europe,,
Bulgaria,63.12,51.44,94.9,Europe,,
Kazakhstan,72.82,135.13,93.84,Asia,,
Bosnia And Herzegovina,60.69,17.19,89.73,Europe,,
Cyprus,54.77,20.5,85.34,Asia,,
Switzerland,20.77,665.48,84.87,Europe,,
Denmark,25.97,314.27,83.64,Europe,,
Estonia,17.71,25.33,81.51,Europe,,
Austria,21.9,399.62,76.94,Europe,,
